member_id,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,desc,purpose,title,addr_state,last_pymnt_d,last_pymnt_amnt
1305201,6500,6500, 60 months,14.65,153.45,C,Southwest Rural metro,5 years,OWN,72000,Not Verified,Dec-2011,Fully Paid,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,AZ,Jun-2013,1655.54
1305008,12000,12000, 36 months,12.69,402.54,B,UCLA,10+ years,OWN,75000,Source Verified,Dec-2011,Fully Paid,,debt_consolidation,Consolidation,CA,Sep-2013,6315.3
1298717,9000,9000, 36 months,13.49,305.38,C,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,Dec-2011,Charged Off,  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,VA,Jul-2012,305.38
1304956,3000,3000, 36 months,9.91,96.68,B,Target,3 years,RENT,15000,Source Verified,Dec-2011,Fully Paid,"  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>",credit_card,citicard fund,IL,Jan-2015,102.43
1303503,10000,10000, 36 months,10.65,325.74,B,SFMTA,3 years,RENT,100000,Source Verified,Dec-2011,Charged Off,,other,Other Loan,CA,Oct-2013,325.74
1304871,1000,1000, 36 months,16.29,35.31,D,Internal revenue Service,< 1 year,RENT,28000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolidation Loan,MO,Jan-2015,36.32
1299699,10000,10000, 36 months,15.27,347.98,C,Chin's Restaurant,4 years,RENT,42000,Not Verified,Dec-2011,Fully Paid,,home_improvement,Home,CA,Jan-2015,370.46
1304884,3600,3600, 36 months,6.03,109.57,A,Duracell,10+ years,MORTGAGE,110000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>,major_purchase,Holiday,CT,May-2013,583.45
1294539,6000,6000, 36 months,11.71,198.46,B,Connection Inspection,1 year,MORTGAGE,84000,Verified,Dec-2011,Fully Paid,  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>,medical,Medical,UT,Feb-2015,16.98
1304855,9200,9200, 36 months,6.03,280.01,A,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,CA,Jul-2012,8061.1
1284848,20250,19142.1610771, 60 months,15.27,484.63,C,Archdiocese of Galveston Houston,3 years,RENT,43370,Verified,Dec-2011,Fully Paid,"After amassing credit card debt through several years of college, I now have spending under control and a stable job. With this loan I plan to pay off all the credit cards and close them down immediately. I have a good balance between living expenses and debt repayment.<br> Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.  Please let me know if you have any other questions.<br> Borrower added on 12/15/11 > Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.<br><br>Please let me know if you have any other questions.<br><br> Borrower added on 12/16/11 > After amassing credit card debt from years in college I have put spending under control. With my stable job, I hope to use this loan to pay off all the credit cards and close them down immediately. My monthly income is balanced between living expenses and loan repayment.  Thank you!<br><br> Borrower added on 12/16/11 > After amassing credit card debt through several years of college, I now have spending under control and a stable job.  With this loan I plan to pay off all the credit cards and close them down immediately.  I have a good balance between living expenses and debt repayment.<br>",debt_consolidation,Freedom From Credit Cards,TX,Aug-2015,6024.09
1269083,21000,21000, 36 months,12.42,701.73,B,Osram Sylvania,10+ years,RENT,105000,Verified,Dec-2011,Charged Off,  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>,debt_consolidation,Debt Cleanup,FL,Sep-2013,701.73
1304821,10000,10000, 36 months,11.71,330.76,B,Value Air,10+ years,OWN,50000,Source Verified,Dec-2011,Fully Paid,"  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>",credit_card,Credit Card Loan,TX,Jan-2015,349.21
1304810,10000,10000, 36 months,11.71,330.76,B,Wells Fargo Bank,5 years,RENT,50000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolidation,CA,Oct-2013,4942.63
1304634,6000,6000, 36 months,11.71,198.46,B,bmg-educational,1 year,RENT,76000,Not Verified,Dec-2011,Charged Off,,major_purchase,cash,CA,Oct-2012,198.46
1273773,15000,15000, 36 months,9.91,483.38,B,Winfield Pathology Consultants,2 years,MORTGAGE,92000,Verified,Dec-2011,Fully Paid,,credit_card,No more credit card debt!,IL,Sep-2012,2447.05
1304679,15000,8725, 36 months,14.27,514.64,C,nyc transit,9 years,RENT,60000,Not Verified,Dec-2011,Charged Off,  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>,debt_consolidation,consolidation,NY,,0
1304764,5000,5000, 60 months,16.77,123.65,D,Frito Lay,2 years,RENT,50004,Not Verified,Dec-2011,Charged Off,  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>,other,Other,PA,Dec-2012,123.65
1304678,4000,4000, 36 months,11.71,132.31,B,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolidation,FL,Apr-2013,2638.77
1278806,8500,8500, 36 months,11.71,281.15,B,Oakridge homes,< 1 year,RENT,25000,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>,credit_card,Credit card repayment loan,MN,Dec-2014,581.59
1261745,4375,4375, 36 months,7.51,136.11,A,,7 years,MORTGAGE,17108,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/17/11 > This loan is a great opportunity and will help me gain better control over my finances. The convenience of one payment and one rate will help me save money and create better opportunities for myself for future planning. My career and income are secure and I believe in financial responsibility.<br>,debt_consolidation,Debt Consolidation,NY,Jan-2015,144.94
1304608,31825,31825, 36 months,7.9,995.82,A,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000,Verified,Dec-2011,Fully Paid,"  Borrower added on 12/15/11 > Hello<br>I plan to use my funds to pay off my credit cards 100%.  <br>I pay more in minimum payments now than my loan payment will be and you can see by my credit report that I always repay my debts.<br>I have a very secure job in property management.  I have been with the company for close to 6 years.<br><br> Borrower added on 12/16/11 > In addition to the other info provided I would like to add that a majority of our credit card debt was from overruns when we added an addition to our home.  Unfortunately to finish the job we needed to use credit cards as our home equity line was cut during after the real estate bubble burst.<br><br>  Borrower added on 12/17/11 > One more note regarding my credit card payments.  Currently I have close to $2000.00 dollars a month budgeted.  The less than $1,000.00 loan payment monthly will allow me to save a generous portion of my monthly budget, something I am looking forward to greatly.<br>",debt_consolidation,Debt Consolidation Loan,NJ,Aug-2013,16966.7
1299514,10000,9975, 60 months,15.96,242.97,C,US Legal Support,2 years,RENT,29120,Verified,Dec-2011,Current,,debt_consolidation,Brown Eyes Loan,FL,Jan-2016,242.97
1304289,5000,5000, 36 months,8.9,158.77,A,Good Samaritan Society,2 years,RENT,24044,Verified,Dec-2011,Fully Paid,  Borrower added on 12/16/11 > The purpose of this loan is to pay off a couple of high interest credicards and holidays expenses so I can start the new year having only one creditor. Thank you for making this possible.Merry Christmas e a Prosperous New Year to all. Thank you<br>,debt_consolidation,Consolidation,OR,Jan-2015,163.64
1291365,7000,7000, 36 months,15.96,245.97,C,GREG BARRETT DRYWALL,7 years,RENT,34000,Source Verified,Dec-2011,Fully Paid,,credit_card,Credit Card Loan,CA,Jan-2015,260.74
1304589,12400,12400, 36 months,10.65,403.91,B,Sharp Lawn Inc.,10+ years,RENT,41000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/16/11 > I plan to use the funding from this loan to pay off my credit cards in order to obtain lower interest rates and to have only one payment per month. I will be saving around $80 per month on interest including loan fees. I plan on using extra money to start an IRA. Worked at same business for 10 years<br>,credit_card,December 2011 Credit Card Loan,KY,Jan-2015,417.61
1304255,10800,10800, 36 months,9.91,348.03,B,Department of Justice,2 years,RENT,55596,Source Verified,Dec-2011,Fully Paid,"  Borrower added on 12/19/11 > I have a very stable job &amp; am moving to get a better position. Thanks for your help!<br><br>  Borrower added on 12/22/11 > Almost there, am ready to take care of business, Merry Christmas! ^_^<br>",moving,Moving to better job,946xx,0,Nov-2013
1304251,15000,15000, 36 months,7.9,469.36,A,Gateway Hospice,1 year,RENT,45000,Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > I am looking to pay off all my credit cards and have one lump sum to pay each month.  I graduated with my masters 2 years ago.  It took me a year to find a good job and I have been with them for a year now.  The next thing for me to fix in my life is my credit situation.  If I can pay one lump sum I will be saving money each month.  I would really appreciate the consideration of being approved.<br>,debt_consolidation,Debt Consolidation Loan,OH,Jan-2014,5872.8
1304250,6000,6000, 36 months,12.42,200.5,B,Cox Communications,1 year,RENT,36852,Source Verified,Dec-2011,Fully Paid,"  Borrower added on 12/15/11 > This loan will be used to clear out my current credit cards to $0 balances and close them.  I have really high interest rates on them and chasing multiple minimum payments around is not working out so well.<br><br> Borrower added on 12/15/11 > I currently pay about $480 per month in minimums and have the lower interest rate is going to lower the payments so much, that i will actualy be paying this loan off in about half the time as ihave already learned to live with the 480 per month. <br><br>  Borrower added on 12/16/11 > For te consolidation of credit cards and to clear all revolving debt.<br>",debt_consolidation,Credit Card Consolidation,AZ,Apr-2014,1923.53
1304237,12500,12475, 60 months,12.69,282.44,B,United States Infrastructure Corporation,1 year,RENT,27000,Verified,Dec-2011,Current,  Borrower added on 12/20/11 > The purpose of this loan is to pay off my credit card debt. The remaining will go towards my student loan.<br>,debt_consolidation,Credit card debt,IL,Jan-2016,282.44
1301955,9600,9600, 36 months,7.51,298.67,A,Nucor Building Systems,4 years,RENT,68004,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > Funds will be used for an upcoming wedding.<br>I have a very stable job and will have no problems paying back the funds.<br>,other,Other Loan,SC,Jan-2015,311.56
1304567,12000,12000, 36 months,7.9,375.49,A,John Wiley Jr.,10+ years,RENT,62300,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > To be used to payoff high interest loans.<br>,debt_consolidation,Debt Consolidation,NJ,Jan-2015,380.98
1304202,3000,3000, 36 months,18.25,108.84,D,,9 years,MORTGAGE,65000,Not Verified,Dec-2011,Fully Paid,"  Borrower added on 12/15/11 > Combination of things, including a higher-then expected school tax bill, short term year-end cashflow pinch. <br><br>I intend to pay this off ASAP, once one of my client projects wraps up. <br><br>My business is increasing steadily - recovering nicely from the credit crunch, which affected many of my clientele in 2009 &amp; 2010.<br><br>PS:  I've never been late with a payment. Ever. ;-)<br><br>Thank you ... and happy holidays!<br>",other,Year End Cleanup,PA,Jan-2015,115.38
1292332,4400,4400, 36 months,16.77,156.37,D,citizens bank,10+ years,RENT,55000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,debt,RI,Jan-2015,162.44
1304526,6000,6000, 36 months,6.03,182.62,A,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/16/11 > Debt Consolidation Loan - Student Loan/Credit Card<br>,debt_consolidation,Debt-Consolidation ,LA,Jul-2012,15.01
1282787,14000,14000, 36 months,9.91,451.15,B,golfers warehouse,6 years,RENT,80000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > i am opening a small business and need a small amount to finalize the process<br><br>  Borrower added on 12/17/11 > i have over 8 years of profesional experience in this low cost/high return market.  my employee has over 12 years experience as well.<br>,small_business,Small Business Loan,MA,Jan-2015,457.91
1304521,5000,5000, 36 months,8.9,158.77,A,STERIS Corporation,10+ years,MORTGAGE,100000,Source Verified,Dec-2011,Charged Off,,debt_consolidation,Debt Consolidation for a better life,OH,Aug-2014,158.77
1304166,10000,10000, 36 months,10.65,325.74,B,Costco Wholesale Corp.,6 years,RENT,27000,Verified,Dec-2011,Fully Paid,,other,Other Loan,NY,Jan-2015,332.92
1304171,10000,10000, 36 months,6.03,304.36,A,Helicoil,10+ years,RENT,60000,Not Verified,Dec-2011,Fully Paid,,credit_card,Credit Card Loan,CT,Jul-2012,8762.05
1303701,11000,11000, 36 months,6.62,337.75,A,cognizant technology solutions,5 years,RENT,70000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolitation ,CT,Jan-2015,346.13
1304123,15000,15000, 36 months,9.91,483.38,B,Caterpillar Inc.,8 years,MORTGAGE,80000,Not Verified,Dec-2011,Charged Off,  Borrower added on 12/15/11 > Using to pay off existing loans and credit card debt<br><br>  Borrower added on 12/16/11 > All are of a higher interest rate so this interest rate is substantionaly lower giving me peace of mind..<br><br>  Borrower added on 12/18/11 > My job is very stable and I have seniority over more than 80% of the workforce which makes it highly unlikely for me to get laid off..I made it through the 2008 economic downturn without a beat and I still have unlimited overtime oppurtunity<br>,debt_consolidation,Debt Consolidation Loan,IL,Oct-2014,483.38
1302485,25600,25350, 36 months,9.91,824.96,B,City of Santa Monica ,9 years,RENT,110000,Verified,Dec-2011,Fully Paid,"  Borrower added on 12/14/11 > I would like to clear my credit card balances and consolidate as single payment, I am in good standing on all my credits and never missed a payment.<br>",credit_card,Credit card refinance loan,CA,Jan-2015,838.27
1304117,7000,7000, 36 months,10.65,228.02,B,Aerotek Scientific,< 1 year,RENT,40000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Loan 12142011,CA,Jan-2015,240.27
1304116,12000,12000, 36 months,15.96,421.65,C,Chemat Technology Inc,4 years,RENT,50000,Not Verified,Dec-2011,Charged Off,,car,Car Loan,CA,Aug-2012,421.65
1303909,12000,12000, 36 months,9.91,386.7,B,Scott & White,1 year,RENT,46000,Not Verified,Dec-2011,Fully Paid,"  Borrower added on 12/19/11 > I got crazy with my credit cards in college and now its time to finally pay it all down. I just want a one stop shop to consolidate all my debt so I can feel like I actually am paying my cards down, and also so I can start saving.<br><br> Borrower added on 12/19/11 > Please help me to get rid of my credit card debt in 3 years or less. I've made the mistake of spending too much in college and now it's time to finally pay it all down! One monthly payment and a lower interest rate will definitely help me to reach my goal, and to really start saving for my future.<br>",credit_card,Credit Cards,TX,Jul-2014,964.73
1303652,21000,20975, 60 months,19.91,555.33,E,Costco,7 years,RENT,50000,Verified,Dec-2011,Charged Off,  Borrower added on 12/20/11 > consolidation  of credit cards.<br>,debt_consolidation, Bill pay of,WA,Oct-2014,555.33
1302790,16000,15950, 60 months,19.91,423.11,E,CA Technologies,7 years,RENT,81000,Verified,Dec-2011,Fully Paid,"  Borrower added on 12/16/11 > Will use this opportunity to consolidate my high interest debt obligations, a mojority of which were accrued during school years (undergraduate and graduate degree programs). <br><br>My credit history from the past 10+ years is testament to the fact that i have never missed a payment.<br>",credit_card,refinance debt,MA,Oct-2013,9931.02
1302882,10000,10000, 36 months,12.42,334.16,B,Netflix,< 1 year,OWN,39000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolidation Loan,OR,Jul-2013,5803.94
1274517,10000,10000, 36 months,10.65,325.74,B,DCAA,2 years,RENT,51400,Not Verified,Dec-2011,Fully Paid,"  Borrower added on 12/21/11 > I plan to use the funds to pay off all of my credit card debt. I have always been a responsible individual, paid my bills on time, and have never been unemployed. I have a stable job in an in-demand industry. I keep a monthly budget of my income and expenses.<br>",credit_card,My End to Bad Spending Habits Plan,TX,Aug-2012,8627.74
1287308,7100,7100, 36 months,16.77,252.33,D,Triple D security ,1 year,MORTGAGE,33000,Verified,Dec-2011,Fully Paid, I wna apply for $7100 loan to pay off all credit cards n line of credit I have n hospital bill. If I do get loan I can definitely pay the monthly payments back.<br> Borrower added on 12/14/11 > I only want a loan of $7100. If I can get this that would b great. <br>,debt_consolidation,To pay of all debt,TX,Jan-2015,262.78
1287810,13000,13000, 60 months,12.69,293.74,B,wrisco,< 1 year,MORTGAGE,30000,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/07/11 > plan to use the funds to pay off bills. always pay bills on time.  monthly budget will be minimal after consolidating. have good job<br>,debt_consolidation,Debt Consolidation Loan,NJ,Jan-2016,3596.46
1277395,17500,8925, 60 months,17.27,223.74,D,,6 years,RENT,40000,Verified,Dec-2011,Current,"  Borrower added on 11/28/11 > Thanks.<br> Borrower added on 12/05/11 > Hello,<br>I am in need of the money to purchase a tractor for my new business. I have a signed contract for guaranteed income for the next 5 years. Just need some extra support to get started. I appreciate the assistance.<br><br> Borrower added on 11/28/11 > Thanks.<br> Borrower added on 12/05/11 > Hello,<br>I am in need of the money to purchase a tractor for my new business. I have a signed contract for guaranteed income for the next 5 years. Just need some extra support to get started. I appreciate the assistance.<br>",small_business,Start Up,CA,Jan-2016,223.74
1278095,17675,17675, 60 months,14.65,417.25,C,webb candy,< 1 year,RENT,50000,Source Verified,Dec-2011,Fully Paid,"  Borrower added on 12/07/11 > I am trying to wrap everything together - I currently pay well over 700 a month for this debt, and have NEVER been late.  ",debt_consolidation,Debt Consolidation Loan,WI,Aug-2013,13814.81
1303549,8000,8000, 36 months,16.77,284.31,D,Omniplex ,< 1 year,RENT,62000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/16/11 > I am looking to pay down my high interest revolving credit card accounts in full with this loan<br>,debt_consolidation,Debt Consolidation Loan,VA,Dec-2014,606.54
1303778,10000,9975, 60 months,10.65,215.69,B,CEC ENTERTAINMENT INC,10+ years,RENT,45996,Verified,Dec-2011,Charged Off,,debt_consolidation,Consolidation,OH,Apr-2015,1
1303750,3500,3500, 36 months,10.65,114.01,B,CPI,7 years,MORTGAGE,55000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > pay off credit cards<br>,debt_consolidation,blessings,OH,Jan-2015,118.32
1303740,12500,8925, 60 months,17.27,223.11,D,grandma kitchen,5 years,RENT,30000,Source Verified,Dec-2011,Charged Off,  Borrower added on 12/16/11 > So I can pay all my bills so I will have just one monthy payment .<br>,debt_consolidation,allen,MN,Feb-2014,223.11
1303473,16425,16425, 36 months,14.27,563.53,C,"Gen-Probe, Inc",4 years,RENT,44544,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/14/11 > looking to find a loan to consolidate my credit card debts at a lower interest rate.  currently paying 700/month and have never missed a payment.  high interest rates make it hard to pay down the debt.<br>,debt_consolidation,New Start,CA,Nov-2012,13108.71
1303528,8200,8200, 60 months,21.28,223.14,F,autozone,4 years,RENT,75000,Source Verified,Dec-2011,Charged Off,  Borrower added on 12/15/11 > Business/credit card<br>,small_business,Small_Business Loan,CA,Jun-2013,223.14
1303718,15000,15000, 36 months,14.65,517.42,C,USAF Civil Service,2 years,OWN,61000,Verified,Dec-2011,Fully Paid,"  Borrower added on 12/14/11 > I calculated refinancing would allow me to pay off my credit debt a year earlier and save around $6,000.  <br>",credit_card,Credit Refinance,FL,Sep-2014,2533.38
1303486,20975,13550, 60 months,17.58,341.63,D,Dollar Tree Stores,5 years,MORTGAGE,44000,Verified,Dec-2011,Fully Paid,  Borrower added on 12/18/11 > We are looking to consolidate and wipe out all of our exisiting credit card debt. With this loan we will be able to save several hundred dollars a month which we plan to put back into our budget as savings or investments.<br>,credit_card,Refinance Loan,GA,Apr-2014,9245.21
1292558,6400,6400, 36 months,16.77,227.45,D,"Riverside County, California",5 years,RENT,75000,Not Verified,Dec-2011,Charged Off,  Borrower added on 12/14/11 > Debt consolidation<br>,debt_consolidation,Help,CA,Oct-2013,227.45
1303716,3000,3000, 36 months,13.49,101.8,C,Insight Card Services,1 year,RENT,33600,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Credit Card Consolidation,AL,Sep-2012,2539.58
1299004,12000,12000, 36 months,16.77,426.47,D,Genocea Biosciences,3 years,RENT,50000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/14/11 > This loan is for credit card consolidation so that I can get on the path to making better financial decisions. Thank-you for funding me!<br><br>  Borrower added on 12/18/11 > I also want to  add that I have never been late with a bill payment and I will make sure your investment is well worth it. Thanks again for helping me out!<br>,credit_card,Credit Card Consolidation,MA,Jan-2015,441.52
1303514,14400,14400, 36 months,8.9,457.25,A,Model Metrics,< 1 year,OWN,150000,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/15/11 > I have some 0% interest store credit that is coming due.  Back interest of about $3500 would need to be paid and ongoing 17.99 APR.  I figure I could save about $5500 with this loan.  Thanks for your help.<br>,debt_consolidation,Credit Payoff 14400,NY,Jan-2015,464.02
1303303,12000,12000, 36 months,14.65,413.94,C,Boro of Butler,10+ years,RENT,90000,Not Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolidation Loan,NJ,Jun-2012,11046.6
1303482,11000,11000, 36 months,13.49,373.24,C,TX Army National Guard,10+ years,MORTGAGE,48000,Verified,Dec-2011,Fully Paid,,debt_consolidation,Debt Consolidation,TX,Oct-2014,1491.29
1302799,7250,7175, 60 months,21.67,197.51,F,Cross Country Travel Corp,< 1 year,RENT,75000,Verified,Dec-2011,Fully Paid,"I have been steadily employed.  I am a hard worker and pay my bills on time. I would like to consolidate my credit card debt and buy a car that is more reliable (since mine is having transmission troubles) and more practical (with better gas mileage). I'd like to do this without increasing my monthly payment, which this will do, then I can choose to pay extra when possible.",debt_consolidation,Debt Consolidation Loan,CA,Sep-2012,6824.7
1303437,15000,15000, 36 months,7.9,469.36,A,Segovia's Transportion Inc.,1 year,MORTGAGE,52000,Not Verified,Dec-2011,Fully Paid,,small_business,Small_Business Loan,TX,Aug-2012,312.74
1279714,18000,18000, 60 months,19.91,475.99,E,AVMED HEALTH PLANS,10+ years,MORTGAGE,65000,Not Verified,Dec-2011,Fully Paid,  Borrower added on 12/20/11 > I've been working for the same company for 22 yrs.<br>The funds will be used completely to pay all my debt.<br>,debt_consolidation,Debt Consolidation Loan,FL,Oct-2014,10783.73
1303432,35000,22050, 60 months,17.27,551.84,D,tutor Per ini Corporation,3 years,MORTGAGE,150000,Verified,Dec-2011,Fully Paid,,home_improvement,Home improvement,NY,Feb-2014,15660.22
1302869,10000,10000, 36 months,14.27,343.09,C,SAP,2 years,RENT,68000,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/14/11 > Consolidation of two credit cards with IR over 20%<br>,credit_card,CC Refi Loan,PA,Jul-2012,8962.31
1282013,11800,11800, 36 months,12.69,395.83,B,Koi Restaurant,6 years,RENT,42000,Source Verified,Dec-2011,Fully Paid, Loan for refinancing credit cards and finishing off all credit card debt.<br>  Borrower added on 12/17/11 > I expect to fully pay off the loan in under the stated term of 3 years.<br>,credit_card,Credit Card Refinancing,NY,Jan-2015,419.36
1303403,4500,4500, 36 months,6.03,136.96,A,CaseStack,4 years,RENT,53000,Source Verified,Dec-2011,Fully Paid,,major_purchase,Auto Loan,CA,Jan-2015,138.95
